Species,Eye_Size,Foraging.Bin
Acanthiza_chrysorrhoa,9.12,Myopic
Alauda_arvensis,11.4,Myopic
Alectoris_chukar,11.7,Myopic
Amazilia_tzacatl,5.6,Myopic
Anas_clypeata,11.2,Myopic
Anas_platyrhynchos,11.9,Myopic
Anas_strepera,10.1,Myopic
Anthochaera_carunculata,14.19,Myopic
Aptenodytes_patagonicus,20.4,Hyperopic
Aquila_audax,143,Hyperopic
Athene_cunicularia,14.6,Hyperopic
Aythya_affinis,11.2,Myopic
Aythya_marila,11.2,Myopic
Baeolophus_bicolor,6.57,Myopic
Bonasa_umbellus,12.1,Myopic
Branta_canadensis,9.6,Myopic
Bubo_virginianus,32,Hyperopic
Buteo_jamaicensis,16.8,Hyperopic
Cacatua_sanguinea,10.32,Myopic
Calypte_anna,4.64,Myopic
Calyptorhynchus_banksii,9.27,Myopic
Calyptorhynchus_latirostris,8.09,Myopic
Carpodacus_mexicanus,4.69,Myopic
Cathartes_aura,14.4,Hyperopic
Columba_livia,12.1,Myopic
Coragyps_atratus,14.65,Hyperopic
Corvus_frugilegus,30,Myopic
Corvus_macrorhynchos,9,Myopic
Corvus_monedula,33,Myopic
Coturnix_japonica,9.7,Myopic
Cyanocitta_cristata,18.75,Myopic
Dacelo_novaeguineae,15,Hyperopic
Emberiza_citrinella,9.7,Myopic
Emberiza_schoeniclus,7.8,Myopic
Empidonax_minimus,8.9,Hyperopic
Erithacus_rubecula,6,Myopic
Eudyptula_minor,17.46,Hyperopic
Falco_berigora,73,Hyperopic
Falco_sparverius,21.7,Hyperopic
Fringilla_coelebs,22.5,Hyperopic
Fulmarus_glacialis,16.6,Hyperopic
Gallus_gallus,7,Myopic
Garrulus_glandarius,30,Hyperopic
Junco_hyemalis,6.55,Myopic
Lichmera_indistincta,7.16,Myopic
Melopsittacus_undulatus,6.9,Myopic
Melospiza_melodia,7.07,Myopic
Mergus_serrator,10.8,Hyperopic
Milvus_migrans,32.9,Hyperopic
Molothrus_ater,5.1,Myopic
Neophron_percnopterus,9.2,Myopic
Nothoprocta_perdicaria,14,Myopic
Oceanodroma_leucorhoa,7.6,Myopic
Passer_domesticus,4.97,Myopic
Pavo_cristatus,4.88,Myopic
Perdix_perdix,20.6,Myopic
Phaethornis_superciliosus,10.2,Myopic
Phalacrocorax_carbo,6,Myopic
Phasianus_colchicus,9.1,Myopic
Phoenicopterus_chilensis,12.9,Myopic
Phoenicopterus_ruber,9.5,Myopic
Pica_pica,10.6,Myopic
Pipilo_erythrophthalmus,33,Myopic
Puffinus_puffinus,8.9,Hyperopic
Sayornis_nigricans,8.88,Hyperopic
Sitta_carolinensis,6.83,Myopic
Spizella_arborea,7.03,Myopic
Spizella_passerina,6.62,Myopic
Spizella_pusilla,6.45,Myopic
Strix_aluco,11.1,Hyperopic
Strix_nebulosa,24.6,Hyperopic
Struthio_camelus,19.32,Myopic
Sturnella_magna,10.2,Myopic
Sturnus_vulgaris,6.29,Myopic
Surnia_ulula,19.2,Hyperopic
Tachycineta_bicolor,10.05,Hyperopic
Todiramphus_sanctus,12,Hyperopic
Turdus_merula,22.5,Myopic
Turdus_pilaris,15.9,Myopic
Tympanuchus_phasianellus,13,Myopic
Tyto_alba,13.6,Hyperopic
Zenaida_macroura,6.89,Myopic
Zonotrichia_albicollis,7.7,Myopic
Zonotrichia_leucophrys,5.93,Myopic
Zosterops_lateralis,7.46,Myopic